NAME,COUNTRY,LONGITUDE,LATITUDE,TAMAX,TAMAXDATE,TAMIN,TAMINDATE
ES SENIA, AG,-0.621,35.624,18.07,1958,18.07,1958
KSAR CHELLALA, AG,2.317,35.167,17.14,2013,17.14,2013
BENI SAF, AG,-1.35,35.3,19.56,2011,19.24,2012
SIDI BEL ABBES, AG,-0.617,35.2,18.19,2006,16.37,2013
MAGHNIA, AG,-1.77,34.82,18.51,2009,17.41,2013
DJELFA TLETSI, AG,3.25,34.683,15.6,2014,14.75,2013
EL KHEITER, AG,0.067,34.15,17.44,2014,16.79,2005
EL BAYADH, AG,1.0,33.667,15.96,2014,15.31,2011
NAAMA, AG,-0.3,33.267,17.88,2010,16.28,2013
AIN SEFRA, AG,-0.6,32.767,19.3,2010,17.97,2009
BECHAR, AG,-2.27,31.646,22.17,1981,21.39,1958
OUARGLA, AG,5.413,31.917,22.37,1958,22.37,1958
OUED IRARA, AG,6.14,31.673,22.95,1981,22.95,1981
BENI ABBES, AG,-2.167,30.133,25.7,2010,24.25,2011
IN SALAH, AG,2.5,27.233,26.83,2008,26.83,2008
GANCA, AJ,46.4167,40.7167,15.5,1966,11.26,1911
ASTARA, AJ,48.9,38.5,16.03,1995,13.83,1993
GUMRI, AM,43.83,40.78,8.86,1966,4.53,1956
ARAGAC VISOKOGORNAYA, AM,44.2,40.5,-0.81,1966,-4.43,1992
ARMAVIR, AM,44.05,40.133,11.99,2017,11.99,2017
YEREVAN, AM,44.5,40.2,14.71,1966,9.37,1933
GAVAR, AM,45.1331,40.35,6.79,1966,3.2,1982
MALAELOA, AS AQ,-170.78333,-14.35,26.62,1972,26.51,1971
PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ,-170.71667,-14.33333,27.04,1963,26.12,1965
PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ,-170.71361,-14.33056,29.17,1998,26.2,1971
LA QUIACA OBSERVATO, AR,-65.6,-22.1,10.51,1994,8.88,1971
RIVADAVIA, AR,-62.9,-24.167,24.33,1969,22.54,1983
LAS LOMITAS, AR,-60.583,-24.7,24.17,1963,21.83,1962
SANTIAGO DEL ESTERO, AR,-64.3,-27.767,21.82,1997,19.67,1974
RESISTENCIA AERO, AR,-59.05,-27.45,22.24,1997,20.59,1987
LA RIOJA AERO., AR,-66.817,-29.383,21.85,1969,19.27,1979
CERES AERO, AR,-61.95,-29.883,20.26,1965,18.49,1973
RECONQUISTA AERO, AR,-59.7,-29.183,21.42,1997,19.27,1976
CORDOBA AERO, AR,-64.217,-31.317,18.55,1969,16.97,1979
PARANA AERO, AR,-60.483,-31.783,19.48,1997,17.23,1976
MENDOZA AERO, AR,-68.783,-32.833,18.33,2003,16.54,1976
LABOULAYE AERO, AR,-63.367,-34.133,17.95,1970,15.82,1984
SANTA ROSA AERO, AR,-64.266,-36.567,16.71,2003,14.69,1955
MAR DEL PLATA AERO, AR,-57.583,-37.933,15.34,1980,13.1,1964
NEUQUEN AERO, AR,-68.133,-38.95,15.58,1989,13.75,1959
ESQUEL AERO, AR,-71.15,-42.933,9.32,1998,7.36,1961
TRELEW AERO, AR,-65.266,-43.2,14.73,1989,12.72,2002
COMODORO RIVADAVIA, AR,-67.5,-45.783,14.27,1998,12.14,1984
RIO GALLEGOS AERO, AR,-69.283,-51.617,8.81,1985,6.88,1971
SALTA AERO, AR,-65.483,-24.85,18.35,1997,16.4,1976
JACHAL, AR,-68.75,-30.25,17.55,1977,14.82,1992
PEHUAJO AERO, AR,-61.9,-35.867,16.5,1989,14.85,1964
BUENOS AIRES OBSERV, AR,-58.483,-34.583,18.8,1997,15.36,1911
BAHIA BLANCA AERO, AR,-62.167,-38.733,16.42,2003,14.25,1976
WYNDHAM PORT, AS,128.1,-15.4644,31.09,1958,29.4,1963
WYNDHAM AERO, AS,128.1503,-15.51,30.69,2016,27.63,2011
TROUGHTON ISLAND, AS,126.1485,-13.7542,29.81,2016,27.19,1967
KURI BAY, AS,124.5222,-15.4875,28.82,1980,27.26,1994
MITCHELL PLATEAU, AS,125.8258,-14.7925,25.86,1983,25.38,1971
WYNDHAM, AS,128.1247,-15.4872,30.87,1992,27.57,2011
KALUMBURU, AS,126.6453,-14.2964,28.89,2016,25.94,2011
TRUSCOTT, AS,126.3867,-14.09,28.3,2010,26.84,2011
KALUMBURU MISSION, AS,126.6431,-14.2961,29.06,1942,26.16,1949
DOONGAN, AS,126.3114,-15.3797,26.92,2016,24.31,2011
OLD HALLS CREEK, AS,127.7817,-18.2519,27.12,1906,24.42,1949
HALLS CREEK AIRPORT, AS,127.6636,-18.2292,28.38,1992,25.23,2011
KIMBERLEY RES.STATION, AS,128.7092,-15.6547,29.13,1998,27.04,1976
WARMUN, AS,128.2175,-17.0156,29.31,2016,25.86,1976
KUNUNURRA, AS,128.7353,-15.7828,28.98,1981,27.37,1976
KUNUNURRA AERO, AS,128.71,-15.7814,29.41,2016,27.42,2008
ARGYLE AERODROME, AS,128.4517,-16.6381,29.98,2016,26.74,2011
HALLS CREEK COMPARISON, AS,127.6625,-18.2303,28.05,1998,28.05,1998
BROOME POST OFFICE, AS,122.25,-17.95,27.7,1906,25.76,1929
BROOME AIRPORT, AS,122.2353,-17.9475,28.41,2016,25.4,1976
CAPE LEVEQUE, AS,122.9278,-16.3961,27.74,1980,26.24,1976
FITZROY CROSSING COMP., AS,125.5644,-18.1919,28.78,1973,25.69,1976
DERBY POST OFFICE, AS,123.6292,-17.3044,29.35,1992,27.23,1984
COCKATOO ISLAND, AS,123.5942,-16.09,28.8,1973,27.56,1967
BIDYADANGA, AS,121.7803,-18.6844,28.64,2016,26.02,1976
DERBY AERO, AS,123.6611,-17.3706,29.89,2016,26.73,1976
CAMBALLIN, AS,124.1922,-17.9903,29.16,1973,28.36,1965
TALGARNO, AS,121.5,-19.2833,27.09,1961,26.7,1963
MOUNT BARNETT, AS,125.9086,-16.7372,25.76,1986,25.76,1986
CYGNET BAY, AS,123.0086,-16.4514,27.72,1998,25.72,1994
NITA DOWNS, AS,121.6764,-19.0861,27.87,1972,26.5,1966
KOOLAN ISLAND, AS,123.7764,-16.1306,28.41,1988,27.31,1985
CADJEBUT, AS,125.9875,-18.7267,30.0,1998,30.0,1998
CURTIN AERO, AS,123.8217,-17.5736,29.01,2005,27.24,2011
BROOME COMPARISON, AS,122.2339,-17.9492,27.62,1998,26.33,1997
FITZROY CROSSING AERO, AS,125.5619,-18.1814,29.43,2019,26.74,2011
WEST ROEBUCK, AS,122.3122,-17.8964,28.12,2010,26.04,2000
PORT HEDLAND POST OFFICE, AS,118.5742,-20.3139,27.09,1938,25.27,1929
MANDORA, AS,120.8436,-19.7419,27.9,2016,26.28,1982
MARBLE BAR COMPARISON, AS,119.7497,-21.1756,29.01,1991,26.4,1949
NULLAGINE, AS,120.1103,-21.8861,25.91,1980,24.3,1978
PARDOO STATION, AS,119.5811,-20.1078,27.69,1998,25.83,2000
PORT HEDLAND AIRPORT, AS,118.6317,-20.3725,27.68,2015,25.18,1956
ROEBOURNE, AS,117.1456,-20.7767,28.64,1996,26.07,1966
REDMONT, AS,119.0131,-21.9931,26.78,1977,25.4,1976
ABYDOS WOODSTOCK, AS,118.955,-21.62,25.84,1970,25.41,1975
GOLDSWORTHY, AS,119.5206,-20.3422,29.19,1991,27.93,1968
YANDEE, AS,118.8783,-21.3625,26.68,1972,26.68,1972
KARRATHA AERO, AS,116.7742,-20.7097,27.83,2019,25.91,2001
SHAY GAP, AS,120.1672,-20.4958,28.78,1991,27.12,1974
ROEBOURNE AERO, AS,117.1583,-20.7594,28.03,2010,26.26,2011
DAMPIER PORT, AS,116.7517,-20.6175,27.33,1996,26.07,1995
PORT HEDLAND MILOS AWS COMPARI, AS,118.6297,-20.3736,26.36,1999,26.01,2000
MARBLE BAR, AS,119.7497,-21.1756,29.19,2016,27.35,2012
LEARMONTH AIRPORT, AS,114.0967,-22.2406,25.8,2019,23.89,1992
MARDIE, AS,115.9797,-21.1906,27.39,1994,25.27,1966
ONSLOW, AS,115.1117,-21.6364,26.12,2010,24.09,1960
ONSLOW AIRPORT, AS,115.1092,-21.6689,27.17,2019,24.42,1952
VLAMINGH HEAD, AS,114.1072,-21.8067,24.2,1965,23.8,1966
WITTENOOM, AS,118.3358,-22.2425,27.55,1959,24.81,2000
EXMOUTH TOWN, AS,114.1256,-21.9303,25.8,1972,24.71,1970
EAST INTERCOURSE ISLAND, AS,116.6789,-20.6553,26.13,1967,25.93,1968
BARROW ISLAND, AS,115.3931,-20.8206,27.0,1988,25.05,1971
NAVY CHARLIE, AS,114.05,-22.3333,24.33,1970,24.33,1970
DAMPIER SALT, AS,116.7483,-20.7278,27.26,1980,25.56,1976
SAND HILL, AS,119.6172,-22.7825,25.75,1977,24.62,1978
PANNAWONICA, AS,116.3308,-21.6392,27.99,2002,26.46,2001
TOM PRICE, AS,117.7703,-22.6967,24.37,1998,22.55,2001
NAVY ALPHA, AS,114.1714,-21.8222,24.92,1973,24.66,1974
THEVENARD ISLAND, AS,115.0197,-21.4606,26.65,2019,25.98,2009
LEARMONTH MILOS AWS COMPARISON, AS,114.0869,-22.2367,24.59,1999,24.59,1999
BARROW ISLAND AIRPORT, AS,115.4056,-20.875,26.38,2019,25.3,2001
CARNARVON AIRPORT, AS,113.67,-24.8878,23.35,2013,21.06,1968
GASCOYNE JUNCTION, AS,115.21,-25.0544,25.31,1998,23.39,1984
HAMELIN POOL, AS,114.1667,-26.4008,22.76,1959,21.66,1968
DENHAM, AS,113.5319,-25.9261,23.66,2011,21.06,1993
CARNARVON POST OFFICE, AS,113.65,-24.9,22.53,1932,21.04,1908
EMU CREEK STATION, AS,115.0414,-23.0314,27.11,2010,25.0,1995
NANGA, AS,113.8064,-26.2564,22.33,1983,20.96,1986
BRICKHOUSE WOOLSHED, AS,113.8333,-24.8167,23.71,1976,21.92,1968
MURCHISON, AS,115.9561,-26.8936,23.64,2014,21.42,1992
SHARK BAY AIRPORT, AS,113.5772,-25.8925,23.34,2013,22.0,2005
CUE, AS,117.8994,-27.4233,22.67,1983,20.95,1966
MEEKATHARRA AIRPORT, AS,118.5372,-26.6136,24.84,2019,21.08,1960
MEEKATHARRA POST OFFICE, AS,118.4883,-26.5933,23.36,1940,21.05,1942
MOUNT MAGNET, AS,117.8503,-28.0619,22.45,1959,20.34,1960
MOUNT PHILLIP, AS,116.3078,-24.4,25.26,1994,24.25,1999
MUNDIWINDI, AS,120.2442,-23.7942,24.26,1959,22.06,1968
MURGOO, AS,116.4261,-27.3636,22.63,1980,21.19,1966
THREE RIVERS, AS,119.1514,-25.1256,23.06,1977,22.5,1978
YALGOO, AS,116.6828,-28.3392,21.82,1959,19.82,1963
PAYNES FIND, AS,117.6836,-29.2708,21.58,2015,19.27,1992
NEWMAN, AS,119.7314,-23.3683,25.51,1996,22.9,1966
NEWMAN AERO, AS,119.7989,-23.4169,26.17,2019,22.32,2000
PARABURDOO, AS,117.6692,-23.2028,27.03,1991,25.13,1995
PARABURDOO AERO, AS,117.7494,-23.1725,27.56,2019,24.33,2000
MEEKATHARRA MILOS AWS COMPARIS, AS,118.5367,-26.6131,22.32,1999,22.32,1999
MOUNT MAGNET AERO, AS,117.8425,-28.1156,23.47,2019,20.53,2000
CARNAMAH, AS,115.8869,-29.6889,20.5,1972,18.75,1942
NABAWA, AS,114.7897,-28.5008,20.42,1972,18.4,1917
DALWALLINU COMPARISON, AS,116.6619,-30.2772,19.97,1972,17.76,1968
GERALDTON TOWN, AS,114.605,-28.7769,20.56,1921,19.0,1908
GERALDTON AIRPORT, AS,114.6975,-28.7953,21.03,2011,18.4,1968
MOORA, AS,116.0072,-30.6417,19.26,1991,17.36,1971
MORAWA, AS,116.0089,-29.2103,20.91,2002,18.73,1946
MULLEWA, AS,115.5142,-28.5367,22.07,2014,19.41,1935
WONGAN HILLS, AS,116.7186,-30.8917,19.74,2015,17.11,1968
WONGAN HILLS RES.STATION, AS,116.7267,-30.8408,19.14,1994,17.24,1960
WALEBING, AS,116.1386,-30.665,18.93,1959,16.42,1917
ENEABBA POST OFFICE OLD SITE, AS,115.35,-29.8,19.57,1967,18.22,1968
ENEABBA, AS,115.2722,-29.8183,21.01,1983,19.54,1973
PERENJORI AMBULANCE, AS,116.2667,-29.45,20.54,1972,20.54,1972
KALBARRI, AS,114.165,-27.7119,22.59,2011,19.42,1971
NOKANENA, AS,114.5778,-28.3517,20.5,1977,19.01,1986
NORTH ISLAND, AS,113.5936,-28.3008,22.74,2011,20.83,2005
MORAWA AIRPORT, AS,116.0247,-29.2039,21.34,2019,19.76,2016
DALWALLINU, AS,116.6714,-30.2761,19.75,2014,18.21,2016
FREMANTLE, AS,115.75,-32.055,18.9,1972,17.37,1971
PERTH AIRPORT, AS,115.9764,-31.9275,19.84,2011,16.88,1968
PERTH REGIONAL OFFICE, AS,115.8667,-31.95,19.91,1978,17.17,1917
NEDLANDS UWA, AS,115.8192,-31.9861,18.97,1972,18.97,1972
BADGINGARRA RESEARCH STATION, AS,115.5394,-30.3381,19.73,2011,18.19,2005
ROTTNEST ISLAND LIGHTHOUSE, AS,115.5022,-32.0089,19.21,1983,17.33,1968
PEARCE RAAF, AS,116.0189,-31.6669,19.93,2011,18.11,2005
KALAMUNDA, AS,116.0594,-31.9822,16.62,1993,16.62,1993
KWINANA BP REFINERY, AS,115.7611,-32.2258,19.88,1999,17.27,1960
GOSNELLS CITY, AS,115.9839,-32.0486,19.69,2009,19.3,2002
KARNET, AS,116.0744,-32.44,17.48,1999,15.34,1971
LANCELIN, AS,115.33,-31.0164,20.19,2011,17.54,1968
WEST PERTH, AS,115.8453,-31.9508,18.35,1970,17.0,1968
JURIEN BAY, AS,115.0311,-30.3081,19.88,2012,17.88,1971
WALLISTON, AS,116.0692,-31.9942,17.26,1969,16.2,1971
SUBIACO TREATMENT PLANT, AS,115.7928,-31.9556,19.53,1999,18.39,1993
PERTH WEST, AS,115.85,-31.95,19.27,1972,19.27,1972
BENTLEY CURTIN, AS,115.8861,-32.0022,18.82,1972,17.94,1973
JANDAKOT AERO, AS,115.8794,-32.1011,19.34,2011,17.11,2005
GINGIN AERO, AS,115.8642,-31.4628,19.49,2011,17.52,2005
BEENYUP, AS,115.7772,-31.7858,18.23,1983,17.56,1980
ROTTNEST ISLAND, AS,115.5022,-32.0069,19.92,2011,18.22,2005
MEDINA RESEARCH CENTRE, AS,115.8075,-32.2208,19.06,2014,17.17,1986
GOOSEBERRY HILL, AS,116.0506,-31.9414,18.99,1999,18.08,2001
SWANBOURNE, AS,115.7619,-31.9558,20.2,2011,18.15,2005
PERTH METRO, AS,115.8728,-31.9192,19.85,2011,17.89,2005
BICKLEY, AS,116.1364,-32.0056,17.72,2011,16.09,2005
PERTH AIRPORT COMPARISON, AS,115.9639,-31.9356,18.73,2000,18.73,2000
GARDEN ISLAND HSF, AS,115.6839,-32.2433,19.89,2011,18.04,2005
ALBANY, AS,117.8808,-35.0289,16.9,2012,15.03,1929
BOYUP BROOK, AS,116.3894,-33.8325,16.22,1972,14.76,1971
BRIDGETOWN COMPARISON, AS,116.1375,-33.9575,16.76,2011,14.09,1917
BUNBURY POST OFFICE, AS,115.63,-33.3267,17.87,1983,15.98,1968
BUSSELTON SHIRE, AS,115.3456,-33.6611,17.42,1963,15.43,1960
CAPE LEEUWIN, AS,115.1358,-34.3728,18.2,2011,15.93,1968
CAPE NATURALISTE, AS,115.0189,-33.5372,18.39,2011,15.35,1960
DONNYBROOK, AS,115.8247,-33.5719,18.16,2011,15.02,1908
DWELLINGUP, AS,116.0594,-32.7103,17.25,2011,14.4,1960
ESPERANCE POST OFFICE, AS,121.8833,-33.85,17.17,1961,15.03,1908
ESPERANCE AERO, AS,121.8275,-33.6825,17.64,2014,15.85,1992
BUSSELTON, AS,115.3194,-33.655,17.5,1999,16.44,2005
MANDURAH PARK, AS,115.7664,-32.5031,19.43,1983,16.82,1968
MANJIMUP, AS,116.145,-34.2508,16.32,2011,13.52,1960
MARGARET RIVER, AS,115.0642,-33.9592,16.1,1974,16.0,1970
MOUNT BARKER, AS,117.6361,-34.625,16.06,1972,13.64,1917
PEMBERTON, AS,116.0433,-34.4478,16.9,2011,14.22,1971
BUSSELTON AERO, AS,115.4008,-33.6858,17.69,2011,15.95,2005
BRIDGETOWN, AS,116.1311,-33.9486,16.02,2015,14.82,2005
COLLIE, AS,116.1467,-33.36,16.78,1963,14.94,1971
ESPERANCE DOWNS RESEARCH STATION, AS,121.7828,-33.6031,17.0,1983,14.98,1955
DENMARK RES.STN., AS,117.37,-34.9511,15.1,1965,14.74,1966
WOKALUP, AS,115.8808,-33.1336,18.32,1983,16.65,1990
ALBANY AIRPORT, AS,117.8022,-34.9414,16.14,1983,14.54,1968
WITCHCLIFFE, AS,115.1042,-34.0281,16.86,2011,15.76,2008
METTLER, AS,118.5519,-34.5961,15.51,1988,14.19,1971
ECLIPSE ISLAND, AS,117.8833,-35.1833,16.31,1961,14.91,1960
ESPERANCE, AS,121.8925,-33.83,17.76,2014,16.33,1970
HARVEY, AS,115.8806,-33.0789,18.15,2011,16.7,2005
JARRAHWOOD, AS,115.6658,-33.7964,16.71,2011,14.5,1986
FRANKLAND VINEYARDS, AS,116.9944,-34.4417,15.56,1978,14.93,1980
MUNGLINUP, AS,120.8653,-33.7078,15.75,1971,15.75,1971
WINDY HARBOUR, AS,116.0308,-34.8361,16.5,2013,16.38,1999
LUDLOW, AS,115.4983,-33.6033,17.36,1988,16.33,1990
BUNBURY POWER STATION, AS,115.66,-33.3158,18.21,1988,17.09,1993
MANDURAH, AS,115.75,-32.5211,18.82,1996,18.36,1998
HOPETOUN NORTH, AS,120.1283,-33.9306,17.26,2011,15.85,2015
ROCKY GULLY, AS,117.0106,-34.5714,15.88,2013,14.63,2016
BUNBURY, AS,115.6447,-33.3567,18.07,2011,16.26,2005
SHANNON, AS,116.3367,-34.5683,15.73,2011,14.6,2016
MANDURAH, AS,115.7119,-32.5219,19.98,2011,18.09,2005
COLLIE EAST, AS,116.1717,-33.3608,16.61,2011,15.12,2008
NORTH WALPOLE, AS,116.7222,-34.9469,16.45,2013,15.42,2016
BENCUBBIN, AS,117.8603,-30.8081,19.7,2014,17.2,1968
CUNDERDIN, AS,117.2331,-31.6494,19.27,1972,16.83,1968
GOOMALLING, AS,116.8269,-31.2994,18.32,1969,17.16,1971
KELLERBERRIN, AS,117.7217,-31.6183,19.48,1938,16.69,1917
MERREDIN, AS,118.2789,-31.4756,19.6,2014,17.09,1971
MERREDIN RESEARCH STATION, AS,118.2242,-31.4994,18.88,1977,16.7,1960
NORTHAM, AS,116.6586,-31.6508,19.46,1921,16.89,1917
WYALKATCHEM, AS,117.3797,-31.1806,19.57,1972,16.65,1968
YORK POST OFFICE, AS,116.7581,-31.8836,18.63,1994,16.72,1971
MURESK AGRIC.COLLEGE, AS,116.6833,-31.75,18.59,1972,16.32,1960
BAKERS HILL CSIRO, AS,116.4781,-31.7603,17.93,1972,15.61,1968
CUNDERDIN AIRFIELD, AS,117.2217,-31.6219,19.17,2015,17.46,2001
YORK, AS,116.765,-31.8997,18.29,2011,16.91,2005
BEVERLEY, AS,116.9247,-32.1083,18.79,2013,16.52,1971
BROOKTON, AS,117.0072,-32.3725,18.09,2015,15.43,1968
CORRIGIN, AS,117.8733,-32.3292,18.09,2014,15.39,1968
HYDEN, AS,118.8983,-32.4419,18.6,2011,16.06,1971
KATANNING COMPARISON, AS,117.5553,-33.6886,16.72,1972,14.65,1917
KOJONUP, AS,117.159,-33.83,16.02,1978,14.97,1990
KONDININ, AS,118.2675,-32.4947,16.13,1971,16.13,1971
LAKE GRACE COMPARISON, AS,118.4625,-33.1006,17.52,1972,15.45,1960
NAREMBEEN, AS,118.3956,-32.0656,19.06,2015,16.66,1971
NARROGIN, AS,117.1797,-32.9342,17.28,2015,14.77,1955
ONGERUP, AS,118.4889,-33.9644,16.63,2014,14.26,1968
PINGELLY, AS,117.0831,-32.5336,17.91,2015,15.95,1986
RAVENSTHORPE, AS,120.0458,-33.5803,17.4,2015,15.73,1986
WAGIN, AS,117.3403,-33.3075,17.36,2015,15.23,1971
WANDERING COMPARISON, AS,116.6756,-32.6814,16.93,1999,14.42,1968
NEWDEGATE RESEARCH STATION, AS,118.84,-33.1131,16.74,2015,15.38,2016
JACUP, AS,119.1092,-33.8878,16.5,2014,15.24,2016
LAKE GRACE, AS,118.4647,-33.1006,17.64,2015,16.2,2016
KATANNING, AS,117.6064,-33.6856,16.7,2015,15.21,2016
WANDERING, AS,116.6706,-32.6722,16.89,2011,15.47,2016
EUCLA, AS,128.8792,-31.6797,18.9,2013,16.96,1986
FORREST AERO, AS,128.1139,-30.8389,18.77,1991,16.47,1960
RAWLINNA, AS,125.3294,-31.0119,19.27,1965,16.94,1960
BALLADONIA, AS,123.8653,-32.4569,18.09,2014,16.77,1968
EYRE, AS,126.3008,-32.2464,17.81,2019,16.11,1986
MOONERA, AS,126.5889,-31.7219,17.93,1973,17.93,1973
BALGAIR, AS,125.6589,-31.09,19.23,2005,18.13,2000
FORREST, AS,128.1092,-30.8453,19.63,2019,18.08,2001
RED ROCKS POINT, AS,127.5297,-32.2028,18.24,2014,17.31,2010
BOOYLGOO SPRING, AS,119.9078,-27.7556,21.1,1965,19.85,1966
NORSEMAN AERO, AS,121.7547,-32.2147,18.3,2019,16.56,2001
CASHMERE DOWNS, AS,119.5686,-28.97,20.85,1994,18.88,1975
KALGOORLIE BOULDER AIRPORT, AS,121.4533,-30.7847,19.67,2015,17.12,1960
KALGOORLIE POST OFFICE, AS,121.4667,-30.75,19.82,1912,17.65,1917
MUNGLINUP WEST, AS,120.6997,-33.5547,17.45,2014,16.27,2016
LAVERTON, AS,122.4072,-28.6306,21.16,1957,19.66,1968
LEONORA, AS,121.3303,-28.8836,22.44,1959,19.62,1975
MENZIES, AS,121.0297,-29.6939,20.93,1994,18.01,1975
NORSEMAN, AS,121.7794,-32.1981,18.22,1972,16.23,1960
SALMON GUMS RES.STN., AS,121.6239,-32.9869,17.3,2014,14.89,1946
SOUTHERN CROSS, AS,119.3281,-31.2319,19.04,1912,16.57,1917
YEELIRRIE, AS,120.0931,-27.2842,21.94,1991,19.59,1975
YAMARNA, AS,123.6556,-28.1664,21.21,1977,19.79,1993
BULGA DOWNS, AS,119.7436,-28.4967,21.85,2013,20.7,2006
LEONORA AERO, AS,121.3186,-28.8789,22.75,2019,20.64,2016
DIEMALS, AS,119.3031,-29.6694,20.39,1991,18.41,1975
WINDARRA, AS,122.2375,-28.49,20.85,1976,20.85,1976
MUNGLINUP MELALEUCA, AS,120.7578,-33.5969,16.65,1983,15.62,1993
LAVERTON AERO, AS,122.4236,-28.6133,22.67,2019,18.96,1992
LEINSTER AERO, AS,120.7031,-27.8386,22.61,2005,20.53,2001
SOUTHERN CROSS AIRFIELD, AS,119.3564,-31.2353,19.12,2013,17.19,2001
BALGO HILLS, AS,127.9867,-20.1417,28.05,2005,25.58,2000
WARBURTON AIRFIELD, AS,126.5839,-26.1317,24.74,2019,21.83,1999
WILUNA, AS,120.225,-26.5914,23.0,1994,20.66,1960
CARNEGIE, AS,122.9753,-25.7964,23.78,2015,21.89,2000
GILES METEOROLOGICAL OFFICE, AS,128.301,-25.0341,24.65,2019,20.57,1974
TELFER AERO, AS,122.2281,-21.7125,28.67,2019,25.57,2001
CAPE DON, AS,131.7667,-11.3167,28.05,1958,26.64,1977
MINJILANG, AS,132.5688,-11.1456,27.19,1975,26.52,1977
DARWIN AIRPORT, AS,130.8925,-12.4239,28.72,2016,26.8,1943
DARWIN POST OFFICE, AS,130.8,-12.4,29.11,1892,27.18,1940
DARWIN AIRPORT COMPARISON, AS,130.8844,-12.4227,28.21,2005,27.17,2006
MIDDLE POINT AWS, AS,131.2988,-12.605,28.03,2010,26.66,2006
OENPELLI, AS,133.0581,-12.3263,28.73,1983,27.32,1967
MIDDLE POINT, AS,131.3145,-12.5781,27.57,1981,26.57,1967
MILIKAPITI, AS,130.6758,-11.4258,27.26,1969,26.45,1965
PIRLANGIMPI, AS,130.4217,-11.4022,28.37,2010,26.54,1982
MILTON SPRINGS, AS,131.0,-13.2167,27.14,1973,27.14,1973
BLACK POINT, AS,132.143,-11.1538,28.0,2009,27.42,1997
DARWIN REGIONAL OFFICE, AS,130.8333,-12.4667,28.36,1973,27.66,1972
JABIRU AIRPORT, AS,132.8939,-12.6594,29.75,2016,27.85,1985
GUNN POINT PRISON FARM, AS,131.0428,-12.2522,27.63,1988,26.67,1994
CAPE DON, AS,131.7651,-11.3081,29.32,2013,28.29,2009
CHANNEL POINT, AS,130.1225,-13.1672,26.94,1996,26.54,2000
POINT STUART AWS, AS,131.8785,-12.2435,28.53,2016,27.4,2014
BATCHELOR AERO, AS,131.0252,-13.0545,28.43,2016,26.53,2011
MCCLUER ISLAND, AS,132.9791,-11.0468,28.89,2016,27.51,2012
DUM IN MIRRIE AWS, AS,130.3725,-12.635,27.98,2013,27.18,2012
MANINGRIDA, AS,134.2263,-12.0482,27.89,1998,26.22,1977
WARRUWI, AS,133.3796,-11.6502,28.27,1988,27.0,1967
